m1_source,m2_source,dL,z,likelihood,posterior
7.611066708933615033e+00,2.109100838983107629e+00,3.527290343696279820e+02,7.560666530090220938e-02,6.949269510849776744e-06,6.949269510849776744e-06
9.071752410453640891e+00,1.957206601314838590e+00,1.894844124438185702e+02,4.160330526881138302e-02,2.567586366398553395e-05,2.567586366398553395e-05
8.866913694818194358e+00,1.842086390416297403e+00,4.132316400000000272e+02,8.783795940598425334e-02,4.950277850479753291e-06,4.950277850479753291e-06
9.031802075619108194e+00,1.918877293706656051e+00,2.553459499999999878e+02,5.550777355210433084e-02,1.376950011640329700e-05,1.376950011640329700e-05
8.470568067178454896e+00,1.882366349252384552e+00,4.551897000000000162e+02,9.621259475847807052e-02,4.017736801033773393e-06,4.017736801033773393e-06
8.938619023873160430e+00,1.937965359235143348e+00,2.399839837327167231e+02,5.228798131511657593e-02,1.568412307482429260e-05,1.568412307482429260e-05
9.376225546118183374e+00,1.885031733679242594e+00,2.256688200000000109e+02,4.927496161534793834e-02,1.783887550242931343e-05,1.783887550242931343e-05
9.001848343827866472e+00,1.903868064369712565e+00,2.803796600000000012e+02,6.072523500653482370e-02,1.130858175416615241e-05,1.130858175416615241e-05
9.323388106175734436e+00,1.885823985990802587e+00,2.281331187385528096e+02,4.979451747691578806e-02,1.743832472949820593e-05,1.743832472949820593e-05
8.864685408190917215e+00,1.930142364695376367e+00,2.741918699999999944e+02,5.943894989462613493e-02,1.185342872657127131e-05,1.185342872657127131e-05
8.991055453939212683e+00,1.870384445952666175e+00,3.323150999999999726e+02,7.143667941447086334e-02,7.890226777714468381e-06,7.890226777714468381e-06
6.964667219100645568e+00,2.325169317302909988e+00,2.791863977784186091e+02,6.047735668906641798e-02,1.141077838211666165e-05,1.141077838211666165e-05
8.172511610790188286e+00,2.045879702939334077e+00,2.851898607441176523e+02,6.172364444783624143e-02,1.090981310047964999e-05,1.090981310047964999e-05
1.009657221159905838e+01,1.720069272516418835e+00,3.283157899999999927e+02,7.061711375488907705e-02,8.095982873843255277e-06,8.095982873843255277e-06
8.077158489794211249e+00,1.965274714237281506e+00,4.380159522495181932e+02,9.279516079423610897e-02,4.366105077721817020e-06,4.366105077721817020e-06
8.952794365155467560e+00,1.893719803021874482e+00,3.059625852328662177e+02,6.602028448730921928e-02,9.402584388393701861e-06,9.402584388393701861e-06
9.635279711839423555e+00,1.860711864638008084e+00,2.013497800000000097e+02,4.412786145047019326e-02,2.262930456368502185e-05,2.262930456368502185e-05
9.239720335815018615e+00,1.933802909323169894e+00,1.812169560179212908e+02,3.983903432123111349e-02,2.816721476579797995e-05,2.816721476579797995e-05
8.903167858081461716e+00,2.001526572656514347e+00,1.600435947314487066e+02,3.530077152656732609e-02,3.642977211914615293e-05,3.642977211914615293e-05
8.949164357353961208e+00,1.932404581672215738e+00,2.476692899999999895e+02,5.390052337676153743e-02,1.468090883884615415e-05,1.468090883884615415e-05
9.009310286956390357e+00,1.916898237213934042e+00,2.546614389684693833e+02,5.536460024521115686e-02,1.384737172876553113e-05,1.384737172876553113e-05
1.157254179066509003e+01,1.575430820647382379e+00,3.017035574977722945e+02,6.514131203578572837e-02,9.685860463777337518e-06,9.685860463777337518e-06
9.422119012375999247e+00,1.903418754646948985e+00,1.873816526383814107e+02,4.115498742626921835e-02,2.627792671967155445e-05,2.627792671967155445e-05
1.001381521755441639e+01,1.797570556268806019e+00,2.238652558542322026e+02,4.889447703526623307e-02,1.814059856511218463e-05,1.814059856511218463e-05
1.114873132743627870e+01,1.639466951678399065e+00,2.545416500000000042e+02,5.533954083595236245e-02,1.386106511680859399e-05,1.386106511680859399e-05
8.908272349705272930e+00,1.850636953203089963e+00,3.853525000000000205e+02,8.222517470730009159e-02,5.751564794360702310e-06,5.751564794360702310e-06
