mu,sigma,mmin,mmax,log_like,log_detfrac,weight
1.235331723032748741e+00,1.503201142435505455e-01,1.172101536499647878e+00,1.650462325925474705e+00,9.327985611274206690e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.344310317847486225e+00,1.488239515400005819e-01,1.140824842499370106e+00,2.202034863192923630e+00,9.191115310404637739e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.245488000777844384e+00,1.340737688611556011e-01,1.149688542059604801e+00,2.665882422911781457e+00,9.240474229958493879e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.222759295997956963e+00,1.805646322571029527e-01,1.172813497540786232e+00,2.849977194121100510e+00,9.278247232246172871e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.311457315828754133e+00,9.588702079815675239e-02,1.174693853024477930e+00,2.893615058332287937e+00,9.356141258827643981e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.340487214332961363e+00,1.126032175651764111e-01,1.006785819696980111e+00,2.901847273751317235e+00,9.270829047580818383e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.236149810333110999e+00,6.000517022447953153e-01,1.163038562988541802e+00,1.582757861609909167e+00,9.200148765359762137e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.302446086882256049e+00,9.392054135074140442e-02,1.124624772668914696e+00,2.564198935887693320e+00,9.318691984209949908e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.326626241988296151e+00,1.135503117466006295e-01,1.158494318857527627e+00,1.979463383054987036e+00,9.385188710033244774e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.323320770171231953e+00,7.160154878017466196e-02,1.168463358960730281e+00,2.770002621325716952e+00,9.294839811899356619e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.236155675970035617e+00,3.706440378252445766e-01,1.178696330771733969e+00,1.551322222768844128e+00,8.879340018520106526e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.549861799439032461e+00,1.086767983787875425e+00,1.164962581049569179e+00,1.563547997310387627e+00,9.177442923461241264e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.243105787017494190e+00,1.512188643424072776e-01,1.102553032299386615e+00,1.589014228652611882e+00,9.065345917891104932e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.330499598411282847e+00,1.172835896855988214e-01,1.165892599454947387e+00,2.736382503309004122e+00,9.385199623595781304e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.332241947875740573e+00,1.027329539393397745e-01,1.036135090514189061e+00,1.823050564226978754e+00,9.322879561427768635e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.246103568496664149e+00,1.011757880734555082e-01,1.162362694144148278e+00,2.163485146729041020e+00,9.125271431824415913e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.182374569392276475e+00,2.320259575861582102e-01,1.156753811526655573e+00,2.212067366438409177e+00,9.158819156485714075e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.368594080137581992e+00,1.188586689532137447e-01,1.176911315628462518e+00,1.680951536600206353e+00,9.120543856206469968e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.321466892502957791e+00,1.150938439952167852e-01,1.164793705120918732e+00,2.458674402878056497e+00,9.402619014292919530e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.168477575604295104e+00,2.315756475964202976e-01,1.167463505836453308e+00,1.976165949169048641e+00,9.223694101199527040e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.322696765230152005e+00,8.794464010239971818e-02,1.057182628252880230e+00,1.704145786990179268e+00,9.349303636013149799e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.315390245289886018e+00,1.082150590860432998e-01,1.155001130702224099e+00,1.722198576396812175e+00,9.394826076005642790e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.342098890784618304e+00,8.408810245977681175e-02,1.104682598073641220e+00,1.626717115215398524e+00,9.345506717317603318e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.315286596619525294e+00,9.921615359168388382e-02,1.122184131214325475e+00,1.799086724628001344e+00,9.353569745957599935e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.313332647597778680e+00,1.342088325174516095e-01,1.119191762458837447e+00,1.564821461133270919e+00,9.281507052450622552e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.346585209547432660e+00,1.230317053557378332e-01,1.001651104060750974e+00,2.817058584071343574e+00,9.206600861828574978e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.279389522861138273e+00,1.736174913628832639e-01,1.172294106799277591e+00,1.647335739598040139e+00,9.297626146429514904e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.219799394571474904e+00,2.031756515685753384e-01,1.093560658953408593e+00,2.297954965164574759e+00,8.925272696518297266e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.320282458078382293e+00,1.250161406919538809e-01,1.075857836597646333e+00,2.141087262161698312e+00,9.230746891848581015e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.311385073300609383e+00,1.086507702733132685e-01,1.164120238260869966e+00,1.588031124355614665e+00,9.425491950731762358e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.172605719683059489e+00,4.133636802028362034e-01,1.118910627608788344e+00,1.601068118327711787e+00,9.002687801008424628e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.317085064306009912e+00,1.628561315230746542e-01,1.116734054039891566e+00,1.685650592479168708e+00,9.145335046542295743e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.522530689411982108e+00,1.022254745226493400e+00,1.159777513662634929e+00,1.576976399446976540e+00,9.105688216164953985e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.454305058524561822e+00,1.552606403746501940e+00,1.171204434089362811e+00,1.574202049236394174e+00,9.146497655370502855e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.331996882115944913e+00,8.537529452662430407e-02,1.140961337304777334e+00,2.153322874182057145e+00,9.376393915502067955e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.259241672156622194e+00,1.123355702815723306e-01,1.163749141904755424e+00,2.089663690111657424e+00,9.297746875036538938e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.328042700219745242e+00,1.330422884965524744e-01,1.164438431252178940e+00,2.112426130979004224e+00,9.340362550561937383e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.480598672767653223e+00,1.904917881247434996e+00,1.170568925866276144e+00,1.578252058358467158e+00,9.132708681852479060e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.478272056428902692e+00,1.277305983846847015e+00,1.156201459271038789e+00,1.641321600095809297e+00,8.929668732859991565e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.196103143402787783e+00,1.945185214070623392e+00,1.105267410089066704e+00,1.594715285563662599e+00,8.911804974529295009e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.368450510829551936e+00,1.046430988784995547e-01,1.173327461224851653e+00,2.417037810837745937e+00,9.217449794232615545e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.381026935702388103e+00,3.326776574165037914e-01,1.164051422785693513e+00,1.588606936443204054e+00,9.178005443867495217e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.346057155544099437e+00,9.616544543570069992e-02,1.031930116358056981e+00,2.840982448704591601e+00,9.327011053769247440e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.335573588476316020e+00,1.169970233412508526e-01,1.057197034057981266e+00,2.303172905009233773e+00,9.260815656926568806e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.169578199183562761e+00,2.137812127795838402e-01,1.169219919300710453e+00,2.816121318913676230e+00,9.260053104610842922e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.178645811162763346e+00,2.953283449395478488e-01,1.164388165433134947e+00,1.578420991605910428e+00,9.263541904510981340e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.302715102682740378e+00,1.330530995486393642e-01,1.145303334867164402e+00,1.609993046538110262e+00,9.329424766928788415e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.111609804783392441e+00,1.953924813345182088e+00,1.093591735771077378e+00,1.577333438826506340e+00,8.862257801011826075e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.217386957314857687e+00,1.728145968528422283e-01,1.138433509182154468e+00,2.707874719330697566e+00,9.147075252710932602e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.264178412813761199e+00,1.203292389761558001e-01,1.102649190826024084e+00,1.759630288248453134e+00,9.116563920047155989e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.210346136482527202e+00,1.649496852910092570e-01,1.170908356660220750e+00,2.534332605181071951e+00,9.314238894009325520e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.505808983833792913e+00,1.366075744559586136e+00,1.167866531253986206e+00,1.556554437269306090e+00,9.118795157983473132e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.436705596964462872e+00,1.632706884812993309e+00,1.158038888087090879e+00,1.565056932003526136e+00,9.150017566400586588e+01,0.000000000000000000e+00,1.000000000000000000e+00
