mu,sigma,mmin,mmax,log_like,log_detfrac,weight
1.364027302889289084e+00,1.443659002681778603e+00,1.186515147460290187e+00,1.662289736735755419e+00,-3.667004532591794685e+01,1.143855156854340249e+00,1.000000000000000000e+00
1.351922347982325689e+00,1.813540335146186067e+00,1.134832040688261934e+00,1.822996237700805100e+00,-3.553773325884112211e+01,1.287943255505314966e+00,1.000000000000000000e+00
1.752739707560171833e+00,1.595133336256823409e+00,1.122696517887189049e+00,2.157779424150989556e+00,-3.584336517036395264e+01,1.420794819907150508e+00,1.000000000000000000e+00
1.669525177937069671e+00,1.216283153708823006e+00,1.125575091987202292e+00,1.691326541734066602e+00,-3.616731663434934063e+01,1.162973953460974874e+00,1.000000000000000000e+00
2.017708200079083802e+00,1.931405804728445030e+00,1.076020805357493781e+00,2.057082741265879200e+00,-3.526719835933602099e+01,1.370323726673813303e+00,1.000000000000000000e+00
1.588504308147091981e+00,1.408493378550065511e+00,1.160546203450740776e+00,2.255450399243865700e+00,-3.642570640199853926e+01,1.455087400645836526e+00,1.000000000000000000e+00
1.676767868770802083e+00,1.671702271869619505e+00,1.184364994753768663e+00,2.024122073770669328e+00,-3.526483263837899784e+01,1.384904599493107069e+00,1.000000000000000000e+00
1.540438198505769574e+00,1.604056923486957942e+00,1.008791267063700259e+00,1.841305482757110257e+00,-3.572816830158750889e+01,1.240819264089002116e+00,1.000000000000000000e+00
1.623104182459420342e+00,1.663027423090036372e+00,1.230954354652656457e+00,1.896970944958842775e+00,-3.519512324586064977e+01,1.378130911598281383e+00,1.000000000000000000e+00
1.716675170661871253e+00,1.843604034002717107e-01,1.114368836046747635e+00,2.899839775918946483e+00,-3.812418936267223302e+01,1.519957764865880856e+00,1.000000000000000000e+00
1.547604181305696436e+00,3.308614611812096262e-01,1.264757507069061981e+00,2.821206715329943826e+00,-3.597491015450081875e+01,1.444241592380971717e+00,1.000000000000000000e+00
1.423669941705379971e+00,2.718021062351800854e-01,1.029556686375412644e+00,2.758294115705926419e+00,-3.529208667695825596e+01,1.253422498992713185e+00,1.000000000000000000e+00
1.520910856934352129e+00,3.607794898366603054e-01,1.099099404823170145e+00,2.421102690816972380e+00,-3.550350385750485316e+01,1.384883260911098368e+00,1.000000000000000000e+00
1.920750251435256573e+00,6.585434211872492893e-01,1.024713952892477797e+00,2.416576041601028013e+00,-3.761996492192358232e+01,1.544890094053508189e+00,1.000000000000000000e+00
1.251915919577772707e+00,1.920404827409899484e+00,1.161154838972009218e+00,2.069865866405568244e+00,-3.542328363666225499e+01,1.393905058692411547e+00,1.000000000000000000e+00
1.774775386199656468e+00,1.013078864952307701e+00,1.021374965765456944e+00,1.983049974296205331e+00,-3.506365384114926087e+01,1.319643328673022920e+00,1.000000000000000000e+00
1.227486144906444698e+00,1.618209288546717417e+00,1.170798375051940843e+00,1.947165499519743825e+00,-3.504647962717655929e+01,1.354194221731736425e+00,1.000000000000000000e+00
1.942258562204156824e+00,1.729159231408778030e+00,1.236366172055201718e+00,2.176701734259828047e+00,-3.638623376316257918e+01,1.477360934759661681e+00,1.000000000000000000e+00
1.511565845230002481e+00,1.524311740285425154e+00,1.102209054075875772e+00,2.321343326437769417e+00,-3.656042608054012533e+01,1.467091379314848343e+00,1.000000000000000000e+00
