m1_source,m2_source,dL,z,likelihood,posterior
4.739384248874199734e+00,1.707884550487825503e+00,3.071502899999999840e+02,6.626522236520548947e-02,9.325729890832699595e-06,9.325729890832699595e-06
5.116701072378186943e+00,1.607884961128715817e+00,3.004957200000000057e+02,6.489185569472556703e-02,9.768447984884965555e-06,9.768447984884965555e-06
6.172015212772373971e+00,1.338595137706616089e+00,4.141526914411822986e+02,8.802272431936133956e-02,4.926613149854162135e-06,4.926613149854162135e-06
4.777421867097727315e+00,1.607728980230721305e+00,4.561039243298691304e+02,9.639412073058885311e-02,4.000323608181234275e-06,4.000323608181234275e-06
4.926596668752912578e+00,1.634792580228219050e+00,3.429268999999999892e+02,7.360714822609630559e-02,7.379583345165382839e-06,7.379583345165382839e-06
6.734545220288115530e+00,1.249939739107594372e+00,4.177515379566401066e+02,8.874425657585863214e-02,4.835689939527625461e-06,4.835689939527625461e-06
4.926236995477597524e+00,1.674736078637537373e+00,2.720642137889282708e+02,5.899615796148312968e-02,1.204960275468697870e-05,1.204960275468697870e-05
4.863301417814808403e+00,1.628186670689031779e+00,3.868229000000000042e+02,8.252218970328974168e-02,5.704795477187662268e-06,5.704795477187662268e-06
6.676560299514658681e+00,1.327960392852548521e+00,2.613544777034989011e+02,5.676336071882617795e-02,1.311250124975445395e-05,1.311250124975445395e-05
5.836095986316887085e+00,1.462906665565087749e+00,2.764999349522423131e+02,5.991899500793803485e-02,1.164582661388963810e-05,1.164582661388963810e-05
5.351826817121456692e+00,1.552038605570323471e+00,2.958324299999999880e+02,6.392798096231423755e-02,1.009707806740146441e-05,1.009707806740146441e-05
6.263888684686813590e+00,1.393164198655861830e+00,2.655597200000000271e+02,5.764087350336426913e-02,1.267947923285883418e-05,1.267947923285883418e-05
3.481547164098304670e+00,2.325286306923527668e+00,1.968296524276388482e+02,4.316716453880744403e-02,2.372413854012377866e-05,2.372413854012377866e-05
6.415675708232147834e+00,1.375747178116873970e+00,2.484729840775833338e+02,5.406895273271244973e-02,1.458143839895985648e-05,1.458143839895985648e-05
7.026659813755129491e+00,1.273408200362007747e+00,2.771846100000000206e+02,6.006133745349665626e-02,1.158525864933285440e-05,1.158525864933285440e-05
6.252027560115590354e+00,1.381846233252382206e+00,2.868615351220140610e+02,6.207031209061095872e-02,1.077600527415479708e-05,1.077600527415479708e-05
9.414342626529819569e+00,1.004587114518718849e+00,3.568717199999999821e+02,7.645019966045951687e-02,6.778249800928116850e-06,6.778249800928116850e-06
4.589376030369716197e+00,1.750992479489902331e+00,3.122067424456400886e+02,6.730712568449878641e-02,9.008517519410251027e-06,9.008517519410251027e-06
5.281776324049560323e+00,1.598146641029368764e+00,2.549124456411724111e+02,5.541710309604508389e-02,1.381874233905720595e-05,1.381874233905720595e-05
5.151186444867366987e+00,1.626026537298399743e+00,2.527037446734023263e+02,5.495496817502702053e-02,1.407365623998903019e-05,1.407365623998903019e-05
6.335447372416934009e+00,1.339354029937429802e+00,3.488838999999999828e+02,7.482291300325705219e-02,7.113637960566400360e-06,7.113637960566400360e-06
4.174747110016623353e+00,1.754690222680749701e+00,5.449277100000000473e+02,1.138455521875870874e-01,2.715497801469059795e-06,2.715497801469059795e-06
4.492793380299987760e+00,1.774573960320123822e+00,3.213123899999999935e+02,6.917983833017016249e-02,8.475453567616524170e-06,8.475453567616524170e-06
5.962054068037240917e+00,1.371397210849433002e+00,4.227022099999999796e+02,8.973577325153123119e-02,4.714505636851922061e-06,4.714505636851922061e-06
3.649177925949099510e+00,2.068652465181602729e+00,3.945793600000000083e+02,8.408712325834136192e-02,5.466924129701000956e-06,5.466924129701000956e-06
4.800061403916340730e+00,1.706747407006890205e+00,2.815338205575093866e+02,6.096491186333490020e-02,1.121099406144680591e-05,1.121099406144680591e-05
4.758537960845824699e+00,1.762349686499581569e+00,2.077709934842006874e+02,4.549042983101327098e-02,2.119693948547501973e-05,2.119693948547501973e-05
5.637329117008450297e+00,1.513286933758080766e+00,2.600719552438506526e+02,5.649553294780759738e-02,1.324884872772230432e-05,1.324884872772230432e-05
6.914147728669830961e+00,1.293246102553287313e+00,2.666072925954960624e+02,5.785931284902878780e-02,1.257484763497103102e-05,1.257484763497103102e-05
5.908611811399356206e+00,1.444748899147766386e+00,2.883688282135424856e+02,6.238275627604832757e-02,1.065738824242186236e-05,1.065738824242186236e-05
5.530310344557308966e+00,1.498876879458998390e+00,3.341233423971148682e+02,7.180695031929813787e-02,7.799673252629724956e-06,7.799673252629724956e-06
6.734820845341158879e+00,1.292625920090004765e+00,3.319077583075293205e+02,7.135324353370679773e-02,7.910835445409728753e-06,7.910835445409728753e-06
5.327744634710374072e+00,1.542645836671628468e+00,3.295913724211813474e+02,7.087861123546981834e-02,8.029522175965589210e-06,8.029522175965589210e-06
4.404019378051321709e+00,1.810173752983508688e+00,3.158338600068706228e+02,6.805363917613899138e-02,8.790514194679296262e-06,8.790514194679296262e-06
5.154067005204330698e+00,1.575908733392099803e+00,3.441950960978214766e+02,7.386612788769941762e-02,7.321776275438094283e-06,7.321776275438094283e-06
5.372745521359141740e+00,1.512575035741053009e+00,3.624526500000000055e+02,7.758515213194192017e-02,6.557307329007107980e-06,6.557307329007107980e-06
4.357899079669977027e+00,1.772201652907354097e+00,4.072817800000000261e+02,8.664338329712253928e-02,5.107160526591025870e-06,5.107160526591025870e-06
4.422032259476798899e+00,1.742839641489261515e+00,4.125215299999999843e+02,8.769547976320817007e-02,4.968634514588846088e-06,4.968634514588846088e-06
6.265587764593615105e+00,1.362276607385810578e+00,3.238715265409689437e+02,6.970534934272712424e-02,8.333861984871648683e-06,8.333861984871648683e-06
7.315437012211587486e+00,1.183657792673369125e+00,4.019253303444268113e+02,8.556643339690699068e-02,5.254586640226980562e-06,5.254586640226980562e-06
3.757778528402845541e+00,2.081686121746406215e+00,3.044922700000000191e+02,6.571695743392166889e-02,9.499004207429250608e-06,9.499004207429250608e-06
