m,mean,med,lb,ub,obs_mean,obs_med,obs_lb,obs_ub,m1mean,m1med,m1lb,m1ub,obs_m1mean,obs_m1med,obs_m1lb,obs_m1ub,m2mean,m2med,m2lb,m2ub,obs_m2mean,obs_m2med,obs_m2lb,obs_m2ub
1.350000000000000755e+00,1.168157471596540598e+00,1.981414121260463013e+00,1.642740079707875722e+00,2.217237495999791363e+00,9.978088001433393917e-01,1.699023712762007143e+00,1.398572292255382710e+00,1.884366821400041525e+00,6.869417567798705715e-01,1.146087752795946990e+00,1.038025674587514269e+00,1.266573605727354224e+00,4.396814064547358014e-01,7.373533719096493355e-01,6.754608747093853172e-01,7.894181786842394688e-01,1.649373186413210624e+00,2.816740489724979035e+00,2.247454484828236954e+00,3.167901386272228503e+00,1.555936193831942926e+00,2.660694053614364840e+00,2.121683709801379880e+00,2.979315464115843692e+00
1.360000000000000764e+00,1.167104224395017376e+00,1.980002443565446413e+00,1.644648718844564206e+00,2.210213627949550563e+00,1.006311515593712791e+00,1.713815337638665115e+00,1.413362885360489374e+00,1.897737681075477134e+00,7.097852347783520921e-01,1.185921233175106781e+00,1.076124886584586271e+00,1.300788448543083620e+00,4.605190254396920868e-01,7.736608569061423912e-01,7.106155662516854266e-01,8.232497364712150212e-01,1.624423214011682770e+00,2.774083653955786044e+00,2.213172551104542141e+00,3.119638807356017729e+00,1.552104005747733328e+00,2.653969818371187728e+00,2.116110204469293432e+00,2.972225625679739025e+00
1.370000000000000773e+00,1.166050977193493932e+00,1.979181609684288468e+00,1.647438344951887013e+00,2.202312956607390682e+00,1.014804851826611509e+00,1.728020189149766850e+00,1.428182057368275082e+00,1.911823537687902252e+00,7.326287127768333907e-01,1.226398563951050180e+00,1.116430373960907829e+00,1.333795518177457673e+00,4.817659162231027192e-01,8.091114093689701914e-01,7.464194161086759038e-01,8.598324673803363627e-01,1.599473241610154695e+00,2.731964655417526977e+00,2.178446315942866196e+00,3.070830395037323246e+00,1.547843787430120299e+00,2.646928968930563286e+00,2.109944698627874260e+00,2.963814607995468364e+00
1.380000000000000782e+00,1.166050977193493932e+00,1.979181609684288468e+00,1.647438344951887013e+00,2.202312956607390682e+00,1.024189167691933022e+00,1.744006318742514772e+00,1.441382980706781725e+00,1.929510894962982004e+00,7.326287127768333907e-01,1.226398563951050180e+00,1.116430373960907829e+00,1.333795518177457673e+00,4.861184231472788775e-01,8.164221784257886805e-01,7.531744317754539564e-01,8.676072702048751584e-01,1.599473241610154695e+00,2.731964655417526977e+00,2.178446315942866196e+00,3.070830395037323246e+00,1.562259912236587223e+00,2.671590459059240974e+00,2.129591529638109382e+00,2.991414519721089071e+00
1.390000000000000790e+00,1.164997729991970932e+00,1.977517350891293546e+00,1.649789135469113877e+00,2.195710656376632652e+00,1.032661817986861186e+00,1.758479449704793085e+00,1.456310927257432608e+00,1.944881626558263354e+00,7.554721907753146892e-01,1.265980485978947634e+00,1.154773457736279374e+00,1.369096424536979439e+00,5.082126559086128648e-01,8.535697714501294664e-01,7.900745877545554130e-01,9.085461045462014384e-01,1.574523269208627063e+00,2.689054215803639458e+00,2.144804813201948157e+00,3.022324888216286087e+00,1.557110980065109507e+00,2.663389127959456815e+00,2.122547266760309803e+00,2.981217148570325381e+00
1.400000000000000799e+00,1.164295565190955228e+00,1.976176756840999138e+00,1.651759867168374862e+00,2.190315420519533429e+00,1.041435772210076216e+00,1.773467543826406256e+00,1.470568501787938853e+00,1.960806870970657423e+00,7.707011761076356660e-01,1.291906257620951237e+00,1.181511425114660785e+00,1.390951287644596412e+00,5.247380627606408332e-01,8.816220655621036517e-01,8.170018272490714439e-01,9.387368020899709009e-01,1.557889954274274791e+00,2.660447256061047039e+00,2.122008309222088940e+00,2.989679553394470446e+00,1.558133481659511599e+00,2.665313022090708639e+00,2.124135176326806373e+00,2.982876939851343945e+00
1.410000000000000808e+00,1.163593400389939747e+00,1.974432424779774209e+00,1.653790990734734567e+00,2.185640829108221883e+00,1.050204814085516691e+00,1.788737075685563171e+00,1.484638079576487080e+00,1.975649117558169632e+00,7.859301614399565317e-01,1.316928487455887753e+00,1.207871469526058616e+00,1.413774105098484002e+00,5.415761316701120931e-01,9.098828692275330310e-01,8.443607240393409263e-01,9.683340917344730459e-01,1.541256639339922963e+00,2.631936362103660443e+00,2.099710511943410296e+00,2.957507553117959542e+00,1.558833496500921179e+00,2.667591282143593201e+00,2.124915435113633233e+00,2.982964143381866329e+00
1.420000000000000817e+00,1.162891235588924266e+00,1.973821730608226632e+00,1.655224594393365223e+00,2.183204628552946502e+00,1.058965488540403177e+00,1.803796067324394237e+00,1.497935832327168315e+00,1.992143996363606506e+00,8.011591467722775084e-01,1.343469084659929091e+00,1.233852257300259270e+00,1.441054885608559655e+00,5.587906693744574271e-01,9.386144031292599221e-01,8.709599214605771023e-01,1.001162634158112574e+00,1.524623324405570912e+00,2.604174376556524173e+00,2.076596931486471398e+00,2.925354371497333350e+00,1.559140307706348816e+00,2.668977731519528440e+00,2.124911743193759417e+00,2.983125358569100438e+00
1.430000000000000826e+00,1.161837988387400822e+00,1.972414179704740089e+00,1.658252414509157280e+00,2.177739639280778405e+00,1.067388831869466648e+00,1.817646370975252390e+00,1.512557400717401190e+00,2.007979797022142243e+00,8.240026247707586959e-01,1.382816929474481205e+00,1.273136118725641808e+00,1.478829328920602704e+00,5.827003532487916582e-01,9.782316571384838122e-01,9.095446120218853014e-01,1.045698401132010291e+00,1.499673352004043059e+00,2.562011429934999196e+00,2.043368710292672752e+00,2.876649949640954329e+00,1.552077310490141748e+00,2.657061084812021079e+00,2.115570189412916857e+00,2.970261192912274417e+00
1.440000000000000835e+00,1.161135823586385118e+00,1.971837165522110080e+00,1.659711211508636541e+00,2.175035876357907405e+00,1.076134368456037160e+00,1.831470161918440809e+00,1.526331138080768479e+00,2.024683697133548677e+00,8.392316101030797837e-01,1.408652239158619368e+00,1.299380420894080013e+00,1.505359624010267572e+00,6.006295558555311276e-01,1.007154171275968180e+00,9.379305734741707479e-01,1.079867370629755019e+00,1.483040037069690564e+00,2.535022091885601014e+00,2.020042002123193292e+00,2.844712128705547460e+00,1.551639181056543082e+00,2.655786152560913660e+00,2.114731702687365988e+00,2.969500023637341890e+00
1.450000000000000844e+00,1.159380411583846415e+00,1.968969352157215580e+00,1.664344377884124038e+00,2.165482473819362763e+00,1.083849060127071606e+00,1.843274087285253771e+00,1.539120330504695211e+00,2.037609721681282959e+00,8.773040734338820590e-01,1.473673045425520023e+00,1.363461700449806635e+00,1.568226280234225500e+00,6.385751939377068975e-01,1.068301620687382547e+00,9.960416963357137110e-01,1.149481922470696249e+00,1.441456749733810883e+00,2.464265658888911137e+00,1.965227055318441440e+00,2.762738667404500248e+00,1.529122926316436537e+00,2.618246553883124772e+00,2.082198964673676933e+00,2.925737520891869448e+00
1.460000000000000853e+00,1.156571752379784490e+00,1.963938227375142898e+00,1.669485089451515192e+00,2.156667748271286822e+00,1.090486171751715361e+00,1.851996086059556568e+00,1.550243754315501210e+00,2.048410083029356343e+00,9.382200147631656328e-01,1.576449812056014421e+00,1.463118430931795944e+00,1.680167488016523381e+00,6.974328874187449845e-01,1.164480382243126000e+00,1.081925688632375149e+00,1.259472480231552893e+00,1.374923489996403347e+00,2.351426642694271152e+00,1.875851747971234440e+00,2.633168008526050485e+00,1.483539456084685737e+00,2.539511789875987358e+00,2.018561819998627271e+00,2.837347685827160237e+00
1.470000000000000862e+00,1.155869587578768787e+00,1.962269820006782517e+00,1.669610993516692510e+00,2.155157662361772530e+00,1.099183178768336155e+00,1.865936935939911612e+00,1.562737785641464816e+00,2.065154977358047983e+00,9.534490000954863875e-01,1.601364716503555607e+00,1.486359298911004601e+00,1.708441046978896427e+00,7.169119256399929530e-01,1.196502729681243160e+00,1.109825109426023193e+00,1.297170213464126753e+00,1.358290175062051075e+00,2.323174923510009204e+00,1.852862688122380641e+00,2.601874277744648190e+00,1.481454431896679136e+00,2.535371142198580063e+00,2.015650461856906439e+00,2.833139741251969212e+00
1.480000000000000870e+00,1.154465257976737824e+00,1.958317176819170502e+00,1.671296306670364329e+00,2.151361121472896265e+00,1.107156112464378950e+00,1.878368678251185031e+00,1.574519203094699948e+00,2.080125739307891131e+00,9.839069707601282300e-01,1.650532728220686973e+00,1.535708044916054948e+00,1.765093234585091819e+00,7.505054638994170801e-01,1.250774331024768982e+00,1.158740984163723065e+00,1.361443388422850065e+00,1.325023545193347196e+00,2.266101625417654031e+00,1.806884568424673709e+00,2.537629008360700933e+00,1.463806761029341041e+00,2.505963025477600858e+00,1.990297422025676832e+00,2.798808090192932418e+00
1.490000000000000879e+00,1.153412010775214380e+00,1.955303617180316422e+00,1.671263650869892370e+00,2.149008373732894661e+00,1.115466089198569266e+00,1.891865429506372376e+00,1.586924929639928372e+00,2.094917756823271304e+00,1.006750448758609640e+00,1.687368142510704994e+00,1.570126323088391285e+00,1.808284695919546659e+00,7.778212558544855826e-01,1.295424307274884113e+00,1.198699621306467789e+00,1.412053611920707219e+00,1.300073572791819121e+00,2.223239091849928073e+00,1.772400978651393455e+00,2.489732051546242886e+00,1.453110922542653061e+00,2.488306551737860861e+00,1.975150237973388956e+00,2.777781901725834945e+00
1.500000000000000888e+00,1.152709845974198899e+00,1.953387530860059229e+00,1.671445150644513600e+00,2.147808867750813366e+00,1.124131316769338973e+00,1.906289451670504231e+00,1.599830403415544833e+00,2.110680341561784967e+00,1.021979434090930727e+00,1.711586931832649539e+00,1.593076042539843584e+00,1.838165880233257221e+00,7.985071569256341206e-01,1.329854671254867782e+00,1.229347289468214255e+00,1.450230699571039228e+00,1.283440257857467293e+00,2.195188129887469142e+00,1.749814258749183837e+00,2.457451855268369290e+00,1.449755476613043825e+00,2.482724232086140681e+00,1.970313517362875189e+00,2.771129983552530707e+00
