mu,sigma,mmin,mmax,log_like,log_detfrac,weight
1.224172754304876820e+00,1.884742224905564534e-01,1.170981748882617968e+00,2.249385279974087659e+00,3.576588892129174013e+01,1.084630965442320960e+00,1.000000000000000000e+00
1.178825842364353171e+00,2.606462007042423812e-01,1.173580463248816264e+00,2.286590348503467762e+00,3.511418993146451584e+01,1.139449007423861016e+00,1.000000000000000000e+00
1.237976279217082753e+00,1.812959615929943535e-01,1.164532500758194811e+00,2.339870143605536690e+00,3.559218319504854122e+01,1.079739709412825155e+00,1.000000000000000000e+00
1.233154302089274790e+00,2.026850755113265845e-01,1.179319884224887982e+00,2.679495055656168301e+00,3.454849565304402859e+01,1.104042066429768543e+00,1.000000000000000000e+00
1.265625595876070708e+00,1.773146200215354185e-01,1.139852166792563404e+00,2.945676003867241377e+00,3.439122165898965022e+01,1.090488311775346109e+00,1.000000000000000000e+00
1.198922569473066302e+00,2.458807161048875423e-01,1.166526374514789133e+00,1.991519627893875377e+00,3.555142506902041788e+01,1.125512494098629634e+00,1.000000000000000000e+00
1.264092233352991590e+00,2.630580480047196024e-01,1.157632885473594442e+00,2.336811307521996728e+00,3.372990956345358882e+01,1.178951889306911305e+00,1.000000000000000000e+00
1.355016578233693370e+00,1.784858382626774431e-01,1.170920658557675242e+00,2.956025653986460888e+00,3.400157593130138878e+01,1.173503364685876793e+00,1.000000000000000000e+00
1.422346726821096530e+00,1.749619512698537549e-01,1.153704986007024091e+00,2.301489796569295976e+00,3.070306495128416202e+01,1.225790472870718517e+00,1.000000000000000000e+00
1.166707917523880811e+00,2.058930211377773545e-01,1.140648649643919432e+00,2.696292263290257729e+00,3.374731885644827400e+01,1.055719828941575900e+00,1.000000000000000000e+00
1.256482135161176794e+00,1.846732083025122984e-01,1.160933276958387772e+00,2.437027246026179039e+00,3.532694974441645996e+01,1.101900205273784072e+00,1.000000000000000000e+00
1.328803424295612379e+00,1.146769062889895496e-01,1.130539745417047159e+00,2.921190549960369864e+00,3.289842297895680190e+01,1.104709320048867127e+00,1.000000000000000000e+00
1.329502504477032110e+00,1.401760243366459435e-01,1.054230330203002497e+00,2.238820063559467499e+00,3.307106971037389087e+01,1.099292402819904702e+00,1.000000000000000000e+00
1.213029348082286463e+00,2.070928736525787239e-01,1.146481077757981026e+00,2.287400870889143345e+00,3.453497608895727922e+01,1.093127175910919346e+00,1.000000000000000000e+00
1.249743935275346773e+00,2.544342776361763203e-01,1.175501165365674172e+00,2.284198184175905144e+00,3.422835157147815011e+01,1.161613224752636953e+00,1.000000000000000000e+00
1.269623518333412804e+00,2.339267401963860682e-01,1.167058572116789872e+00,2.521544576202536359e+00,3.484138446802050026e+01,1.156531275950809290e+00,1.000000000000000000e+00
1.172807102259515455e+00,2.514334847685929519e-01,1.136222143487753744e+00,2.680898002332016805e+00,3.416024190680107608e+01,1.104400922600392798e+00,1.000000000000000000e+00
1.194783702095715050e+00,3.024928863418212543e-01,1.172377743293616881e+00,1.818408165208953431e+00,3.410624320921515817e+01,1.162582480596267231e+00,1.000000000000000000e+00
1.356524780412151188e+00,1.427670380489486357e-01,1.137128236631760325e+00,1.879853471462276104e+00,3.370012134661153169e+01,1.147130165320180861e+00,1.000000000000000000e+00
1.159151142631443143e+00,2.800881331016932263e-01,1.123306220851335357e+00,1.853961910006068248e+00,3.328152680695003340e+01,1.104599710184914763e+00,1.000000000000000000e+00
1.292673352089349414e+00,1.994216639014135539e-01,1.104421415486607883e+00,2.154701420577045834e+00,3.348398189199800612e+01,1.105566539816317917e+00,1.000000000000000000e+00
1.363607190412921444e+00,2.182828146263276481e-01,1.146901280131658929e+00,2.476737810163847531e+00,3.229501421386791549e+01,1.203959727058636187e+00,1.000000000000000000e+00
1.264616052593449780e+00,1.554923638447429091e-01,1.170912897010934817e+00,2.227968776043375954e+00,3.523963637525933024e+01,1.079664401451331690e+00,1.000000000000000000e+00
1.308492970591205395e+00,1.829673162393027352e-01,1.171003998361583420e+00,2.396796319890580396e+00,3.516743812023262450e+01,1.140204025588531733e+00,1.000000000000000000e+00
1.194071817971513072e+00,2.298218790554017454e-01,1.154800524856206323e+00,2.871832718543082308e+00,3.511377540849172618e+01,1.105100031261893490e+00,1.000000000000000000e+00
1.230795303224685888e+00,1.887125919664748852e-01,1.176335738421833588e+00,2.698831361011559071e+00,3.539953551749474769e+01,1.081804507030453610e+00,1.000000000000000000e+00
1.267849433494545597e+00,1.660958519001051736e-01,1.176261075322677208e+00,2.832339847646727193e+00,3.510749934580235987e+01,1.086385720548103784e+00,1.000000000000000000e+00
1.193362522364717515e+00,2.340616413745711111e-01,1.141958653155721537e+00,2.283316010154653686e+00,3.446879006687733948e+01,1.099782899604591968e+00,1.000000000000000000e+00
1.315963414010935750e+00,2.298626708073729930e-01,1.164280898192313840e+00,2.758690538770447453e+00,3.385670879148207035e+01,1.182492702735488566e+00,1.000000000000000000e+00
1.345757381258259056e+00,1.701230971304267259e-01,1.134565953935283256e+00,2.825212311705367352e+00,3.381563935394640907e+01,1.147963602593557342e+00,1.000000000000000000e+00
1.283998229467206764e+00,1.803749143304949065e-01,1.153858070120810764e+00,1.800705295785245408e+00,3.474795052757074387e+01,1.115072635841040105e+00,1.000000000000000000e+00
1.329768872504986321e+00,1.517279692336020724e-01,1.113715301715689332e+00,2.542224513048432222e+00,3.389904200602394724e+01,1.110965450320142045e+00,1.000000000000000000e+00
1.415471492758763494e+00,2.199897776972413732e-01,1.108938283438868355e+00,1.930109599844251900e+00,2.998562339909607388e+01,1.220384437675262168e+00,1.000000000000000000e+00
1.153258292397062235e+00,2.639234098669940298e-01,1.126381072986644138e+00,2.217113449195597497e+00,3.370855722222143669e+01,1.096665742243626340e+00,1.000000000000000000e+00
1.195659307549669537e+00,2.315821394179296000e-01,1.169833896804472140e+00,2.002230193950114590e+00,3.577665418326826341e+01,1.114515596932203367e+00,1.000000000000000000e+00
1.270744811732802404e+00,2.248889471272651208e-01,1.140173236750245511e+00,1.969223476493848990e+00,3.406721774037137607e+01,1.137253042363674194e+00,1.000000000000000000e+00
1.241483055471735986e+00,2.081664294010105443e-01,1.170611680360721385e+00,2.876791869192042217e+00,3.566258648493758443e+01,1.119851251056145136e+00,1.000000000000000000e+00
